"DHSID","DHSCC","DHSYEAR","DHSCLUST","CCFIPS","ADM1FIPS","ADM1FIPSNA","ADM1SALBNA","ADM1SALBCO","ADM1DHS","ADM1NAME","DHSREGCO","DHSREGNA","SOURCE","URBAN_RURA","LATNUM","LONGNUM","ALT_GPS","ALT_DEM","DATUM","area","WEALTHQHH","geometry"
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,4,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000138","GH",2014,138,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.616851,-0.252729,55,59,"WGS84",0,5,c(1171460.17887331, 343796.452126188)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,5,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,5,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,3,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,3,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
"GH201400000151","GH",2014,151,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.587754,-0.189446,14,33,"WGS84",0,4,c(1194473.28107716, 333271.869141111)
